start_up,headline,current_position,skills
stripe,Implementation Consultant at Stripe,Implementation Consultant,"[{'name': 'Social Media', 'endorsements': 13, 'passed_assessment': None}, {'name': 'Social Media Marketing', 'endorsements': 8, 'passed_assessment': None}, {'name': 'E-commerce', 'endorsements': 10, 'passed_assessment': None}, {'name': 'Entrepreneurship', 'endorsements': 6, 'passed_assessment': None}, {'name': 'Online Marketing', 'endorsements': 10, 'passed_assessment': None}, {'name': 'Product Management', 'endorsements': 5, 'passed_assessment': None}, {'name': 'Social Networking', 'endorsements': 8, 'passed_assessment': None}, {'name': 'Online Advertising', 'endorsements': 4, 'passed_assessment': None}, {'name': 'SEO', 'endorsements': 5, 'passed_assessment': None}, {'name': 'Start-ups', 'endorsements': 8, 'passed_assessment': None}, {'name': 'Stripe Radar', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Stripe', 'endorsements': 0, 'passed_assessment': None}]"
stripe,Account Executive | Enterprise bei Stripe,Account Executive Enterprise,"[{'name': 'Komplexer Vertrieb', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Aufbau von Beziehungen', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Leadership', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Marktplanung', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Lead-Generierung', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Vertriebsprozesse', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Software as a Service (SaaS)', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Vertriebsentwicklung', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Umsatzzahlen', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Sales', 'endorsements': 5, 'passed_assessment': None}, {'name': 'Customer Satisfaction', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Customer Service', 'endorsements': 4, 'passed_assessment': None}, {'name': 'CRM', 'endorsements': 2, 'passed_assessment': None}, {'name': 'Microsoft Office', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Marketing Communications', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Strategic Communications', 'endorsements': 2, 'passed_assessment': None}, {'name': 'Customer Oriented', 'endorsements': 2, 'passed_assessment': None}, {'name': 'Corporate Communications', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Account Management', 'endorsements': 4, 'passed_assessment': None}, {'name': 'Online Marketing', 'endorsements': 0, 'passed_assessment': None}, {'name': 'E-commerce', 'endorsements': 3, 'passed_assessment': None}, {'name': 'Social Commerce', 'endorsements': 0, 'passed_assessment': None}, {'name': 'E-Commerce', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Psp', 'endorsements': 0, 'passed_assessment': None}, {'name': 'AML', 'endorsements': 0, 'passed_assessment': None}, {'name': 'DCC', 'endorsements': 0, 'passed_assessment': None}]"
stripe,"Head of Professional Services EMEA, Stripe",Head of Professional Services EMEA,"[{'name': 'Cloud Computing', 'endorsements': 10, 'passed_assessment': None}, {'name': 'Project Management', 'endorsements': 7, 'passed_assessment': None}, {'name': 'Management', 'endorsements': 8, 'passed_assessment': None}, {'name': 'IT Strategy', 'endorsements': 0, 'passed_assessment': None}, {'name': 'SQL', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Java', 'endorsements': 0, 'passed_assessment': None}]"
stripe,Strategic Partnerships | Stripe | SaaS | Commerce,Global Lead - Composable/MACH Technologies,"[{'name': 'Strategy', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Sales', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Build Strong Relationships', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Sales Strategy', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Customer Satisfaction', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Business Reviews', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Business Relationship Management', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Analytical Skills', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Relationship Building', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Co-marketing', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Product Management', 'endorsements': 22, 'passed_assessment': None}, {'name': 'Payments', 'endorsements': 16, 'passed_assessment': None}, {'name': 'Strategic Partnerships', 'endorsements': 11, 'passed_assessment': None}, {'name': 'Product Development', 'endorsements': 14, 'passed_assessment': None}, {'name': 'Data Analysis', 'endorsements': 10, 'passed_assessment': None}, {'name': 'Business Strategy', 'endorsements': 3, 'passed_assessment': None}, {'name': 'Business Development', 'endorsements': 2, 'passed_assessment': None}, {'name': 'Entrepreneurship', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Project Management', 'endorsements': 6, 'passed_assessment': None}, {'name': 'Change Management ', 'endorsements': 0, 'passed_assessment': None}, {'name': 'User-centered Design', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Business Intelligence', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Experience Design', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Rapid Prototyping', 'endorsements': 0, 'passed_assessment': None}, {'name': 'SQL', 'endorsements': 0, 'passed_assessment': None}, {'name': 'HTML', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Visual Basic for Applications (VBA)', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Microsoft Office', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Microsoft Power BI', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Leadership', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Negotiation', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Problem Solving', 'endorsements': 0, 'passed_assessment': None}]"
stripe,Managing Director @ Fleet,Late Stage Investor,"[{'name': 'Projektmanagement', 'endorsements': 15, 'passed_assessment': None}, {'name': 'Leadership', 'endorsements': 13, 'passed_assessment': None}, {'name': 'Vertrieb', 'endorsements': 6, 'passed_assessment': None}, {'name': 'Microsoft Office', 'endorsements': 7, 'passed_assessment': None}, {'name': 'Microsoft PowerPoint', 'endorsements': 6, 'passed_assessment': None}, {'name': 'Microsoft Word', 'endorsements': 4, 'passed_assessment': None}, {'name': 'Vorträge', 'endorsements': 3, 'passed_assessment': None}, {'name': 'SQL', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Power Query', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Strategy', 'endorsements': 2, 'passed_assessment': None}, {'name': 'Salesforce.com', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Analytical Mind', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Teamwork', 'endorsements': 0, 'passed_assessment': None}]"
stripe,Partnerships | Payments & SaaS ,GTM Partnerships,"[{'name': 'Strategy', 'endorsements': 11, 'passed_assessment': None}, {'name': 'Project Management', 'endorsements': 5, 'passed_assessment': None}, {'name': 'Business Development', 'endorsements': 8, 'passed_assessment': None}, {'name': 'Mobile Payments', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Sales', 'endorsements': 3, 'passed_assessment': None}, {'name': 'Start-ups', 'endorsements': 3, 'passed_assessment': None}, {'name': 'Entrepreneurship', 'endorsements': 3, 'passed_assessment': None}, {'name': 'Strategic Partnerships', 'endorsements': 0, 'passed_assessment': None}, {'name': 'Consulting', 'endorsements': 2, 'passed_assessment': None}, {'name': 'CRM', 'endorsements': 2, 'passed_assessment': None}]"
stripe,Marketingmitarbeiter bei Stripe,,
stripe,I make numbers go up,,
stripe,Growth & Enterprise Sales DACH | Stripe | Payments | FinTech,,
stripe,"Risk Strategist, Technology at Stripe",,
stripe,Product Operations and Service Management,,
stripe,Sales Development Manager @Stripe,,
stripe,Software Engineer at Stripe,,
stripe,Account Executive @ Stripe.com,,
stripe,Enterprise Account Executive at Stripe,,
stripe,Project Manager at Stripe,,
stripe,Fabrika - Stripe,,
stripe,Software Engineer at Stripe | Ex-AWS,,
stripe,Growth @ Stripe,,
stripe,"CIPM, CIPP/E | Privacy and Data Protection",,
stripe,Software Engineer at Stripe / Mathematician,,
stripe,Software Engineer,,
stripe,Software Engineer at Stripe,,
stripe,Support bei Stripe,,
stripe,Data Analytics,,
stripe,Software Engineer @ Stripe | Ex Principal at Zalando Payments,,
stripe,Enterprise Account Executive @ Stripe,,
stripe,Engineering Manager at Stripe,,
stripe,Teaching Professional at Stripe,,
stripe,Management Staff at Stripe,,
stripe,Organization Manager at Stripe,,
stripe,Head of Sales at Stripe,,
stripe,Administrator bei Stripe,,
stripe,"Finding digital solutions for the Financial Services Industry with mm1 | Focus on Payments, DLT & Crypto | MBA@WHU",,
stripe,Sales @ Stripe,,
stripe,Software Engineer,,
stripe,Software Engineer at Stripe,,
stripe,Software Engineer at Stripe,,
stripe,Integration Engineer at Stripe,,
stripe,Software Engineer at Stripe,,
stripe,Software Engineer at Stripe,,
stripe,Growth & Enterprise Sales @ Stripe,,
stripe,Software Engineer @ Stripe,,
stripe,Integration Engineer at Stripe,,
stripe,Head of Sales at Stripe,,
stripe,Payments | Strategy | MBA,,
stripe,Back-End-Entwickler,,
